id,cargo,cidade,senioridade,salario_min,salario_max,modalidade
1508,Desenvolvimento Backend,Remoto (Brasil),Pleno,5321,9446,Remoto
1509,Desenvolvimento Backend,São Paulo - SP,Sênior,9839,15484,Remoto
1510,Suporte / Infraestrutura,São Paulo - SP,Pleno,5161,9147,Remoto
1511,Desenvolvimento Backend,São Paulo - SP,Pleno,5461,9451,Remoto
1512,Suporte / Infraestrutura,Remoto (Brasil),Pleno,5143,9256,Presencial
1513,Suporte / Infraestrutura,Rio de Janeiro - RJ,Júnior,2510,4389,Híbrido
1514,Dados / BI,Remoto (Brasil),Sênior,9871,16203,Presencial
1515,Suporte / Infraestrutura,Rio de Janeiro - RJ,Pleno,5453,8897,Híbrido
1516,Suporte / Infraestrutura,Remoto (Brasil),Sênior,9613,16919,Híbrido
1517,Desenvolvimento Frontend,São Paulo - SP,Júnior,2654,4729,Remoto
1518,Desenvolvimento Frontend,São Paulo - SP,Pleno,5468,8574,Remoto
1519,Desenvolvimento Backend,São Paulo - SP,Pleno,5221,8895,Híbrido
1520,Dados / BI,São Paulo - SP,Sênior,10139,15321,Remoto
1521,Desenvolvimento Backend,São Paulo - SP,Pleno,5355,9238,Remoto
1522,Dados / BI,Remoto (Brasil),Sênior,10236,15835,Presencial
1523,Desenvolvimento Frontend,São Paulo - SP,Júnior,2670,4787,Remoto
1524,Desenvolvimento Backend,Rio de Janeiro - RJ,Júnior,2646,4730,Híbrido
1525,Desenvolvimento Backend,São Paulo - SP,Júnior,2732,4636,Remoto
1526,Suporte / Infraestrutura,São Paulo - SP,Pleno,5102,9490,Híbrido
1527,Desenvolvimento Backend,São Paulo - SP,Pleno,5351,8788,Híbrido
1528,Dados / BI,São Paulo - SP,Júnior,2626,4629,Remoto
1529,Desenvolvimento Backend,São Paulo - SP,Júnior,2749,4421,Híbrido
1530,Desenvolvimento Backend,São Paulo - SP,Sênior,10274,15766,Híbrido
1531,Desenvolvimento Backend,São Paulo - SP,Júnior,2588,4696,Remoto
1532,Suporte / Infraestrutura,Remoto (Brasil),Júnior,2626,4496,Híbrido
1533,Dados / BI,Rio de Janeiro - RJ,Pleno,5500,9312,Híbrido
1534,Suporte / Infraestrutura,Remoto (Brasil),Júnior,2591,4700,Remoto
1535,Desenvolvimento Backend,Remoto (Brasil),Júnior,2650,4407,Remoto
1536,Suporte / Infraestrutura,São Paulo - SP,Sênior,9912,16249,Híbrido
1537,Suporte / Infraestrutura,Remoto (Brasil),Sênior,10394,15585,Remoto
1538,Dados / BI,São Paulo - SP,Pleno,5088,8704,Remoto
1539,Desenvolvimento Frontend,São Paulo - SP,Júnior,2550,4331,Remoto
1540,Desenvolvimento Frontend,Remoto (Brasil),Pleno,5255,8993,Remoto
1541,Desenvolvimento Frontend,São Paulo - SP,Júnior,2582,4681,Híbrido
1542,Desenvolvimento Backend,São Paulo - SP,Júnior,2578,4643,Remoto
1543,Suporte / Infraestrutura,São Paulo - SP,Júnior,2685,4511,Presencial
1544,Desenvolvimento Backend,Remoto (Brasil),Pleno,5213,8802,Híbrido
1545,Desenvolvimento Frontend,Rio de Janeiro - RJ,Pleno,5143,9118,Híbrido
1546,Dados / BI,São Paulo - SP,Sênior,10225,16514,Híbrido
1547,Suporte / Infraestrutura,Remoto (Brasil),Pleno,5048,8943,Híbrido
1548,Desenvolvimento Frontend,Remoto (Brasil),Sênior,9772,15437,Remoto
1549,Dados / BI,Remoto (Brasil),Júnior,2563,4434,Híbrido
1550,Dados / BI,São Paulo - SP,Sênior,9996,15943,Remoto
1551,Desenvolvimento Frontend,Remoto (Brasil),Sênior,10036,16936,Híbrido
1552,Desenvolvimento Backend,São Paulo - SP,Júnior,2552,4393,Remoto
1553,Dados / BI,São Paulo - SP,Sênior,9651,16214,Remoto
1554,Desenvolvimento Frontend,São Paulo - SP,Júnior,2680,4630,Presencial
1555,Desenvolvimento Frontend,Rio de Janeiro - RJ,Sênior,10065,16277,Híbrido
1556,Suporte / Infraestrutura,Rio de Janeiro - RJ,Pleno,5167,9177,Híbrido
1557,Dados / BI,São Paulo - SP,Sênior,9557,16780,Presencial
1558,Desenvolvimento Backend,Rio de Janeiro - RJ,Júnior,2541,4685,Remoto
1559,Dados / BI,São Paulo - SP,Pleno,5279,8613,Híbrido
1560,Desenvolvimento Backend,Rio de Janeiro - RJ,Júnior,2733,4764,Remoto
1561,Desenvolvimento Backend,São Paulo - SP,Pleno,5245,8593,Híbrido
1562,Desenvolvimento Backend,São Paulo - SP,Pleno,5343,8955,Híbrido
1563,Dados / BI,Remoto (Brasil),Pleno,5106,8785,Remoto
1564,Desenvolvimento Frontend,São Paulo - SP,Pleno,5424,8718,Híbrido
1565,Desenvolvimento Backend,São Paulo - SP,Pleno,5261,8947,Remoto
1566,Desenvolvimento Backend,Rio de Janeiro - RJ,Júnior,2530,4653,Presencial
1567,Desenvolvimento Backend,Rio de Janeiro - RJ,Sênior,9709,15678,Híbrido
1568,Desenvolvimento Backend,São Paulo - SP,Júnior,2676,4665,Híbrido
1569,Desenvolvimento Backend,São Paulo - SP,Sênior,10363,15816,Remoto
1570,Desenvolvimento Frontend,São Paulo - SP,Júnior,2627,4688,Presencial
1571,Suporte / Infraestrutura,São Paulo - SP,Pleno,5407,9233,Remoto
1572,Desenvolvimento Backend,Rio de Janeiro - RJ,Júnior,2512,4758,Remoto
1573,Desenvolvimento Backend,São Paulo - SP,Júnior,2513,4508,Remoto
1574,Suporte / Infraestrutura,Remoto (Brasil),Júnior,2697,4337,Presencial
1575,Suporte / Infraestrutura,Rio de Janeiro - RJ,Sênior,9709,15546,Remoto
1576,Dados / BI,Rio de Janeiro - RJ,Pleno,5453,9143,Remoto
1577,Desenvolvimento Frontend,São Paulo - SP,Júnior,2601,4667,Presencial
1578,Dados / BI,São Paulo - SP,Sênior,10090,15390,Remoto
1579,Desenvolvimento Backend,São Paulo - SP,Pleno,5493,9442,Presencial
1580,Desenvolvimento Backend,São Paulo - SP,Sênior,10000,16921,Híbrido
1581,Dados / BI,Rio de Janeiro - RJ,Pleno,5083,8932,Remoto
1582,Desenvolvimento Backend,São Paulo - SP,Pleno,5177,9335,Presencial
1583,Suporte / Infraestrutura,Remoto (Brasil),Júnior,2535,4490,Remoto
1584,Desenvolvimento Frontend,São Paulo - SP,Sênior,9648,16526,Presencial
1585,Suporte / Infraestrutura,São Paulo - SP,Sênior,10401,15529,Remoto
1586,Dados / BI,Remoto (Brasil),Sênior,10257,15764,Híbrido
1587,Dados / BI,Rio de Janeiro - RJ,Pleno,5202,9085,Híbrido
1588,Dados / BI,Remoto (Brasil),Sênior,9731,16611,Remoto
1589,Desenvolvimento Backend,São Paulo - SP,Pleno,5055,9057,Remoto
1590,Desenvolvimento Backend,São Paulo - SP,Sênior,10054,16607,Remoto
1591,Desenvolvimento Backend,Rio de Janeiro - RJ,Júnior,2698,4668,Presencial
1592,Desenvolvimento Frontend,Remoto (Brasil),Júnior,2652,4473,Híbrido
1593,Dados / BI,São Paulo - SP,Pleno,5303,8592,Remoto
1594,Suporte / Infraestrutura,Remoto (Brasil),Pleno,5408,8942,Híbrido
1595,Suporte / Infraestrutura,São Paulo - SP,Sênior,10201,16304,Híbrido
1596,Dados / BI,São Paulo - SP,Júnior,2685,4745,Híbrido
1597,Desenvolvimento Backend,São Paulo - SP,Sênior,9535,15961,Remoto
1598,Suporte / Infraestrutura,Rio de Janeiro - RJ,Sênior,10299,15357,Híbrido
1599,Dados / BI,São Paulo - SP,Pleno,5473,9098,Remoto
1600,Suporte / Infraestrutura,São Paulo - SP,Júnior,2615,4470,Remoto
1601,Desenvolvimento Backend,Remoto (Brasil),Júnior,2714,4359,Híbrido
1602,Desenvolvimento Backend,Rio de Janeiro - RJ,Sênior,10291,16071,Presencial
1603,Suporte / Infraestrutura,Rio de Janeiro - RJ,Pleno,5365,9005,Remoto
1604,Desenvolvimento Frontend,São Paulo - SP,Sênior,10076,15348,Híbrido
1605,Dados / BI,Remoto (Brasil),Pleno,5142,8996,Remoto
1606,Suporte / Infraestrutura,Rio de Janeiro - RJ,Júnior,2602,4579,Remoto
1607,Suporte / Infraestrutura,Rio de Janeiro - RJ,Pleno,5228,9225,Presencial
1608,Desenvolvimento Backend,Rio de Janeiro - RJ,Pleno,5059,9123,Remoto
1609,Suporte / Infraestrutura,São Paulo - SP,Júnior,2515,4581,Híbrido
1610,Suporte / Infraestrutura,São Paulo - SP,Sênior,9827,15799,Híbrido
1611,Dados / BI,São Paulo - SP,Júnior,2599,4603,Presencial
1612,Desenvolvimento Backend,Rio de Janeiro - RJ,Pleno,5037,9129,Remoto
1613,Desenvolvimento Frontend,Remoto (Brasil),Júnior,2582,4719,Remoto
1614,Desenvolvimento Frontend,São Paulo - SP,Júnior,2732,4385,Híbrido
1615,Desenvolvimento Backend,Remoto (Brasil),Sênior,9943,16528,Híbrido
1616,Desenvolvimento Backend,Rio de Janeiro - RJ,Sênior,9540,16056,Presencial
1617,Desenvolvimento Frontend,São Paulo - SP,Sênior,10375,16262,Remoto
1618,Dados / BI,São Paulo - SP,Júnior,2632,4635,Híbrido
1619,Dados / BI,São Paulo - SP,Sênior,9831,15790,Híbrido
1620,Dados / BI,São Paulo - SP,Júnior,2608,4662,Híbrido
1621,Suporte / Infraestrutura,Remoto (Brasil),Pleno,5164,8759,Remoto
1622,Suporte / Infraestrutura,Remoto (Brasil),Sênior,9687,16626,Híbrido
1623,Desenvolvimento Backend,Remoto (Brasil),Pleno,5174,8699,Presencial
1624,Desenvolvimento Backend,São Paulo - SP,Sênior,9503,15436,Híbrido
1625,Suporte / Infraestrutura,São Paulo - SP,Júnior,2609,4641,Remoto
1626,Suporte / Infraestrutura,São Paulo - SP,Júnior,2694,4730,Remoto
1627,Suporte / Infraestrutura,São Paulo - SP,Júnior,2524,4793,Remoto
1628,Desenvolvimento Frontend,Rio de Janeiro - RJ,Pleno,5141,8841,Híbrido
1629,Desenvolvimento Backend,Remoto (Brasil),Sênior,9862,15784,Híbrido
1630,Suporte / Infraestrutura,São Paulo - SP,Júnior,2657,4328,Remoto
1631,Dados / BI,São Paulo - SP,Pleno,5123,9020,Remoto
1632,Dados / BI,São Paulo - SP,Júnior,2648,4760,Remoto
1633,Dados / BI,Rio de Janeiro - RJ,Pleno,5226,8703,Remoto
1634,Desenvolvimento Frontend,Remoto (Brasil),Pleno,5448,9086,Híbrido
1635,Dados / BI,São Paulo - SP,Pleno,5190,8697,Remoto
1636,Suporte / Infraestrutura,São Paulo - SP,Júnior,2683,4468,Híbrido
1637,Dados / BI,São Paulo - SP,Pleno,5011,8948,Remoto
1638,Desenvolvimento Frontend,São Paulo - SP,Pleno,5223,8811,Remoto
1639,Dados / BI,Remoto (Brasil),Pleno,5264,9163,Remoto
1640,Desenvolvimento Backend,São Paulo - SP,Júnior,2734,4401,Híbrido
1641,Desenvolvimento Frontend,São Paulo - SP,Júnior,2536,4759,Remoto
1642,Desenvolvimento Backend,São Paulo - SP,Júnior,2523,4637,Híbrido
1643,Suporte / Infraestrutura,São Paulo - SP,Júnior,2504,4733,Híbrido
1644,Suporte / Infraestrutura,São Paulo - SP,Júnior,2618,4603,Híbrido
1645,Suporte / Infraestrutura,São Paulo - SP,Júnior,2569,4582,Remoto
1646,Suporte / Infraestrutura,São Paulo - SP,Júnior,2720,4631,Remoto
1647,Suporte / Infraestrutura,São Paulo - SP,Júnior,2663,4630,Remoto
1648,Desenvolvimento Frontend,Rio de Janeiro - RJ,Sênior,10193,16844,Híbrido
1649,Desenvolvimento Backend,São Paulo - SP,Sênior,9914,16839,Remoto
1650,Desenvolvimento Backend,São Paulo - SP,Júnior,2594,4751,Remoto
1651,Desenvolvimento Frontend,São Paulo - SP,Júnior,2504,4430,Remoto
1652,Desenvolvimento Backend,São Paulo - SP,Sênior,10425,16199,Presencial
1653,Suporte / Infraestrutura,Remoto (Brasil),Pleno,5026,8801,Remoto
1654,Desenvolvimento Backend,Remoto (Brasil),Sênior,10393,16187,Remoto
1655,Desenvolvimento Frontend,Rio de Janeiro - RJ,Sênior,9569,16021,Remoto
1656,Desenvolvimento Backend,Rio de Janeiro - RJ,Júnior,2506,4580,Remoto
1657,Desenvolvimento Frontend,São Paulo - SP,Júnior,2583,4465,Híbrido
1658,Dados / BI,Rio de Janeiro - RJ,Sênior,10246,16833,Remoto
1659,Desenvolvimento Backend,São Paulo - SP,Pleno,5325,8823,Remoto
1660,Suporte / Infraestrutura,Remoto (Brasil),Júnior,2577,4326,Remoto
1661,Dados / BI,São Paulo - SP,Sênior,9937,16420,Remoto
1662,Desenvolvimento Backend,Rio de Janeiro - RJ,Pleno,5402,8617,Remoto
1663,Dados / BI,São Paulo - SP,Sênior,9850,16563,Híbrido
1664,Dados / BI,São Paulo - SP,Júnior,2674,4747,Híbrido
1665,Desenvolvimento Backend,São Paulo - SP,Júnior,2740,4580,Remoto
1666,Suporte / Infraestrutura,Rio de Janeiro - RJ,Júnior,2700,4432,Presencial
1667,Desenvolvimento Frontend,São Paulo - SP,Pleno,5211,9310,Remoto
1668,Desenvolvimento Backend,São Paulo - SP,Sênior,9567,16887,Híbrido
1669,Suporte / Infraestrutura,Remoto (Brasil),Pleno,5015,8891,Híbrido
1670,Desenvolvimento Backend,São Paulo - SP,Sênior,9905,16505,Híbrido
1671,Desenvolvimento Frontend,Rio de Janeiro - RJ,Júnior,2583,4623,Remoto
1672,Suporte / Infraestrutura,São Paulo - SP,Júnior,2609,4572,Remoto
1673,Dados / BI,São Paulo - SP,Sênior,9875,16690,Remoto
1674,Suporte / Infraestrutura,São Paulo - SP,Júnior,2649,4362,Presencial
1675,Suporte / Infraestrutura,Rio de Janeiro - RJ,Júnior,2574,4635,Remoto
1676,Dados / BI,São Paulo - SP,Júnior,2664,4717,Remoto
1677,Desenvolvimento Backend,Rio de Janeiro - RJ,Pleno,5173,9230,Remoto
1678,Suporte / Infraestrutura,Rio de Janeiro - RJ,Pleno,5413,8790,Híbrido
1679,Suporte / Infraestrutura,Rio de Janeiro - RJ,Júnior,2515,4620,Remoto
1680,Desenvolvimento Frontend,Remoto (Brasil),Júnior,2585,4672,Remoto
1681,Dados / BI,São Paulo - SP,Pleno,5343,9115,Remoto
1682,Suporte / Infraestrutura,Remoto (Brasil),Júnior,2512,4336,Híbrido
1683,Desenvolvimento Frontend,Rio de Janeiro - RJ,Sênior,10383,15962,Presencial
1684,Suporte / Infraestrutura,Remoto (Brasil),Sênior,9688,15315,Remoto
1685,Desenvolvimento Backend,São Paulo - SP,Júnior,2510,4772,Híbrido
1686,Dados / BI,Remoto (Brasil),Sênior,10146,16038,Híbrido
1687,Desenvolvimento Frontend,Remoto (Brasil),Pleno,5108,8701,Remoto
1688,Dados / BI,São Paulo - SP,Sênior,9965,16772,Remoto
1689,Desenvolvimento Frontend,Remoto (Brasil),Pleno,5405,8614,Presencial
1690,Suporte / Infraestrutura,São Paulo - SP,Júnior,2567,4473,Presencial
1691,Desenvolvimento Backend,Remoto (Brasil),Júnior,2635,4437,Remoto
1692,Suporte / Infraestrutura,Rio de Janeiro - RJ,Sênior,9780,16396,Híbrido
1693,Suporte / Infraestrutura,São Paulo - SP,Pleno,5282,8844,Híbrido
1694,Desenvolvimento Frontend,Remoto (Brasil),Pleno,5007,9251,Remoto
1695,Desenvolvimento Backend,São Paulo - SP,Pleno,5086,9223,Remoto
1696,Desenvolvimento Backend,Remoto (Brasil),Júnior,2738,4467,Presencial
1697,Desenvolvimento Backend,São Paulo - SP,Sênior,9503,15790,Remoto
1698,Desenvolvimento Frontend,São Paulo - SP,Sênior,10047,16252,Híbrido
1699,Suporte / Infraestrutura,São Paulo - SP,Pleno,5096,9108,Remoto
1700,Desenvolvimento Backend,São Paulo - SP,Pleno,5353,9097,Híbrido
1701,Desenvolvimento Frontend,Remoto (Brasil),Sênior,10294,16962,Híbrido
1702,Desenvolvimento Backend,São Paulo - SP,Pleno,5034,9312,Remoto
1703,Desenvolvimento Backend,Rio de Janeiro - RJ,Sênior,9537,16227,Remoto
1704,Desenvolvimento Frontend,Remoto (Brasil),Júnior,2580,4761,Híbrido
1705,Dados / BI,São Paulo - SP,Pleno,5242,9056,Remoto
1706,Desenvolvimento Backend,Remoto (Brasil),Pleno,5019,9429,Híbrido
1707,Suporte / Infraestrutura,São Paulo - SP,Júnior,2717,4530,Híbrido
1708,Desenvolvimento Backend,Remoto (Brasil),Júnior,2572,4487,Híbrido
1709,Suporte / Infraestrutura,São Paulo - SP,Júnior,2524,4455,Híbrido
1710,Suporte / Infraestrutura,São Paulo - SP,Júnior,2579,4750,Remoto
1711,Desenvolvimento Backend,Remoto (Brasil),Sênior,9819,16160,Remoto
1712,Desenvolvimento Frontend,Rio de Janeiro - RJ,Pleno,5054,9462,Remoto
1713,Desenvolvimento Backend,São Paulo - SP,Pleno,5406,8803,Híbrido
1714,Dados / BI,Remoto (Brasil),Sênior,9981,15747,Presencial
1715,Dados / BI,São Paulo - SP,Pleno,5208,8555,Remoto
1716,Dados / BI,São Paulo - SP,Pleno,5098,9394,Presencial
1717,Desenvolvimento Backend,São Paulo - SP,Júnior,2719,4775,Remoto
1718,Dados / BI,São Paulo - SP,Pleno,5382,8809,Remoto
1719,Dados / BI,Rio de Janeiro - RJ,Sênior,10262,15395,Presencial
1720,Suporte / Infraestrutura,São Paulo - SP,Pleno,5367,8663,Remoto
1721,Desenvolvimento Backend,Rio de Janeiro - RJ,Júnior,2665,4722,Híbrido
1722,Dados / BI,Rio de Janeiro - RJ,Pleno,5103,9428,Remoto
1723,Desenvolvimento Frontend,São Paulo - SP,Sênior,9748,16303,Remoto
1724,Desenvolvimento Backend,Remoto (Brasil),Júnior,2727,4746,Remoto
1725,Desenvolvimento Frontend,São Paulo - SP,Júnior,2571,4410,Remoto
1726,Desenvolvimento Backend,São Paulo - SP,Júnior,2557,4550,Remoto
1727,Desenvolvimento Backend,Rio de Janeiro - RJ,Sênior,9517,16899,Remoto
1728,Desenvolvimento Backend,Remoto (Brasil),Pleno,5353,8651,Remoto
1729,Desenvolvimento Backend,Rio de Janeiro - RJ,Júnior,2730,4464,Presencial
1730,Dados / BI,Remoto (Brasil),Sênior,10443,15674,Híbrido
1731,Desenvolvimento Frontend,Remoto (Brasil),Pleno,5174,8551,Remoto
1732,Dados / BI,Rio de Janeiro - RJ,Júnior,2705,4459,Remoto
1733,Suporte / Infraestrutura,São Paulo - SP,Sênior,9832,15393,Híbrido
1734,Desenvolvimento Backend,São Paulo - SP,Pleno,5353,8628,Presencial
1735,Desenvolvimento Backend,São Paulo - SP,Pleno,5378,8624,Remoto
1736,Dados / BI,São Paulo - SP,Júnior,2502,4790,Híbrido
1737,Desenvolvimento Backend,São Paulo - SP,Júnior,2587,4792,Híbrido
1738,Desenvolvimento Backend,Rio de Janeiro - RJ,Pleno,5389,8796,Híbrido
1739,Suporte / Infraestrutura,São Paulo - SP,Sênior,10001,16973,Híbrido
1740,Dados / BI,São Paulo - SP,Pleno,5000,8987,Remoto
1741,Desenvolvimento Backend,Rio de Janeiro - RJ,Pleno,5010,9233,Híbrido
1742,Desenvolvimento Backend,São Paulo - SP,Júnior,2553,4421,Híbrido
1743,Desenvolvimento Frontend,São Paulo - SP,Pleno,5370,8759,Presencial
1744,Desenvolvimento Backend,Remoto (Brasil),Pleno,5087,8933,Remoto
1745,Desenvolvimento Backend,São Paulo - SP,Júnior,2539,4532,Remoto
1746,Suporte / Infraestrutura,São Paulo - SP,Pleno,5346,9093,Presencial
1747,Desenvolvimento Backend,São Paulo - SP,Pleno,5406,9005,Remoto
1748,Suporte / Infraestrutura,Rio de Janeiro - RJ,Sênior,9976,15486,Remoto
1749,Desenvolvimento Frontend,São Paulo - SP,Sênior,9615,16447,Híbrido
1750,Dados / BI,São Paulo - SP,Júnior,2719,4630,Híbrido
1751,Desenvolvimento Frontend,Remoto (Brasil),Pleno,5132,8817,Remoto
1752,Desenvolvimento Backend,São Paulo - SP,Júnior,2705,4724,Remoto
1753,Suporte / Infraestrutura,São Paulo - SP,Pleno,5041,9305,Presencial
1754,Desenvolvimento Backend,Rio de Janeiro - RJ,Júnior,2502,4719,Remoto
1755,Desenvolvimento Backend,Remoto (Brasil),Sênior,10099,15466,Remoto
1756,Dados / BI,Rio de Janeiro - RJ,Pleno,5029,9356,Remoto
1757,Desenvolvimento Backend,São Paulo - SP,Sênior,10016,16622,Híbrido
1758,Desenvolvimento Backend,Remoto (Brasil),Pleno,5276,9038,Híbrido
1759,Desenvolvimento Frontend,São Paulo - SP,Júnior,2620,4340,Remoto
1760,Desenvolvimento Frontend,Rio de Janeiro - RJ,Júnior,2588,4645,Remoto
1761,Desenvolvimento Backend,São Paulo - SP,Júnior,2538,4728,Híbrido
1762,Desenvolvimento Frontend,São Paulo - SP,Sênior,10303,16481,Híbrido
1763,Dados / BI,São Paulo - SP,Júnior,2654,4758,Remoto
1764,Suporte / Infraestrutura,Rio de Janeiro - RJ,Sênior,10450,15550,Remoto
1765,Dados / BI,Remoto (Brasil),Sênior,10159,15663,Remoto
1766,Desenvolvimento Backend,São Paulo - SP,Pleno,5032,8959,Remoto
1767,Dados / BI,Remoto (Brasil),Pleno,5371,8724,Remoto
1768,Dados / BI,São Paulo - SP,Pleno,5066,8927,Presencial
1769,Desenvolvimento Frontend,Remoto (Brasil),Pleno,5020,9391,Híbrido
1770,Desenvolvimento Backend,Remoto (Brasil),Júnior,2603,4723,Remoto
1771,Desenvolvimento Frontend,Remoto (Brasil),Pleno,5342,8636,Híbrido
1772,Desenvolvimento Backend,Rio de Janeiro - RJ,Pleno,5469,9490,Remoto
1773,Suporte / Infraestrutura,São Paulo - SP,Pleno,5091,9400,Híbrido
1774,Suporte / Infraestrutura,Remoto (Brasil),Júnior,2663,4349,Remoto
1775,Desenvolvimento Backend,Remoto (Brasil),Júnior,2712,4589,Híbrido
1776,Dados / BI,Rio de Janeiro - RJ,Sênior,9592,15493,Híbrido
1777,Dados / BI,Rio de Janeiro - RJ,Júnior,2651,4366,Remoto
1778,Suporte / Infraestrutura,São Paulo - SP,Sênior,9540,16132,Presencial
1779,Suporte / Infraestrutura,Remoto (Brasil),Sênior,10378,16133,Presencial
1780,Suporte / Infraestrutura,São Paulo - SP,Júnior,2527,4491,Híbrido
1781,Dados / BI,Rio de Janeiro - RJ,Pleno,5170,9033,Presencial
1782,Suporte / Infraestrutura,São Paulo - SP,Sênior,10429,16150,Remoto
1783,Desenvolvimento Backend,São Paulo - SP,Júnior,2518,4733,Híbrido
1784,Suporte / Infraestrutura,São Paulo - SP,Pleno,5244,8901,Híbrido
1785,Desenvolvimento Backend,São Paulo - SP,Júnior,2654,4578,Remoto
1786,Dados / BI,Rio de Janeiro - RJ,Júnior,2739,4338,Presencial
1787,Desenvolvimento Frontend,São Paulo - SP,Sênior,9845,15786,Híbrido
1788,Suporte / Infraestrutura,São Paulo - SP,Pleno,5218,9349,Híbrido
1789,Desenvolvimento Backend,São Paulo - SP,Pleno,5452,9172,Híbrido
1790,Suporte / Infraestrutura,Remoto (Brasil),Sênior,9717,15504,Remoto
1791,Dados / BI,Remoto (Brasil),Pleno,5093,8996,Híbrido
1792,Suporte / Infraestrutura,São Paulo - SP,Sênior,9797,16835,Presencial
1793,Desenvolvimento Backend,São Paulo - SP,Pleno,5229,9348,Remoto
1794,Desenvolvimento Backend,Rio de Janeiro - RJ,Pleno,5314,9291,Remoto
1795,Desenvolvimento Frontend,Rio de Janeiro - RJ,Pleno,5024,9069,Presencial
1796,Suporte / Infraestrutura,Rio de Janeiro - RJ,Pleno,5130,9146,Presencial
1797,Suporte / Infraestrutura,São Paulo - SP,Sênior,10157,16538,Híbrido
1798,Desenvolvimento Backend,São Paulo - SP,Pleno,5487,9132,Remoto
1799,Suporte / Infraestrutura,Remoto (Brasil),Júnior,2658,4725,Remoto
1800,Suporte / Infraestrutura,Rio de Janeiro - RJ,Sênior,9728,15902,Remoto
1801,Desenvolvimento Frontend,São Paulo - SP,Sênior,9984,15617,Presencial
1802,Desenvolvimento Backend,Rio de Janeiro - RJ,Pleno,5383,8771,Híbrido
1803,Suporte / Infraestrutura,Remoto (Brasil),Júnior,2562,4780,Presencial
1804,Desenvolvimento Backend,São Paulo - SP,Sênior,10408,16659,Híbrido
1805,Desenvolvimento Backend,São Paulo - SP,Pleno,5434,9352,Híbrido
1806,Desenvolvimento Frontend,São Paulo - SP,Pleno,5293,8937,Híbrido
1807,Suporte / Infraestrutura,São Paulo - SP,Sênior,10403,15598,Remoto
1808,Desenvolvimento Backend,Remoto (Brasil),Júnior,2638,4396,Presencial
1809,Desenvolvimento Backend,São Paulo - SP,Júnior,2692,4434,Remoto
1810,Desenvolvimento Frontend,Rio de Janeiro - RJ,Sênior,10281,16092,Remoto
1811,Desenvolvimento Backend,Rio de Janeiro - RJ,Sênior,10343,15352,Remoto
1812,Desenvolvimento Backend,Remoto (Brasil),Júnior,2661,4630,Híbrido
1813,Suporte / Infraestrutura,São Paulo - SP,Pleno,5446,9146,Híbrido
1814,Desenvolvimento Frontend,Remoto (Brasil),Júnior,2504,4778,Remoto
1815,Suporte / Infraestrutura,São Paulo - SP,Sênior,10243,16125,Remoto
1816,Dados / BI,Remoto (Brasil),Júnior,2723,4571,Híbrido
1817,Desenvolvimento Backend,São Paulo - SP,Júnior,2699,4454,Presencial
1818,Suporte / Infraestrutura,Remoto (Brasil),Pleno,5045,8685,Remoto
1819,Suporte / Infraestrutura,São Paulo - SP,Pleno,5239,9107,Híbrido
1820,Desenvolvimento Backend,São Paulo - SP,Júnior,2597,4377,Remoto
1821,Desenvolvimento Backend,São Paulo - SP,Pleno,5176,8935,Presencial
1822,Dados / BI,São Paulo - SP,Júnior,2651,4345,Remoto
1823,Desenvolvimento Backend,Rio de Janeiro - RJ,Pleno,5498,9387,Remoto
1824,Dados / BI,Rio de Janeiro - RJ,Sênior,9907,16263,Híbrido
1825,Desenvolvimento Backend,Remoto (Brasil),Júnior,2547,4358,Presencial
1826,Desenvolvimento Backend,São Paulo - SP,Pleno,5423,8736,Presencial
1827,Suporte / Infraestrutura,São Paulo - SP,Pleno,5174,9302,Presencial
1828,Desenvolvimento Backend,Rio de Janeiro - RJ,Sênior,10368,16355,Remoto
1829,Suporte / Infraestrutura,São Paulo - SP,Sênior,9523,16309,Híbrido
1830,Suporte / Infraestrutura,São Paulo - SP,Sênior,10008,15783,Remoto
1831,Desenvolvimento Backend,Rio de Janeiro - RJ,Pleno,5087,8734,Presencial
1832,Desenvolvimento Frontend,São Paulo - SP,Pleno,5007,9345,Remoto
1833,Suporte / Infraestrutura,Remoto (Brasil),Júnior,2666,4714,Híbrido
1834,Dados / BI,Remoto (Brasil),Pleno,5488,8590,Híbrido
1835,Suporte / Infraestrutura,São Paulo - SP,Sênior,9629,15377,Presencial
1836,Desenvolvimento Backend,São Paulo - SP,Pleno,5366,9258,Presencial
1837,Dados / BI,São Paulo - SP,Pleno,5262,9116,Híbrido
1838,Dados / BI,São Paulo - SP,Sênior,10269,15373,Remoto
1839,Dados / BI,São Paulo - SP,Pleno,5244,8750,Remoto
1840,Dados / BI,São Paulo - SP,Pleno,5368,9192,Remoto
1841,Desenvolvimento Frontend,Rio de Janeiro - RJ,Pleno,5468,8996,Híbrido
1842,Dados / BI,Rio de Janeiro - RJ,Sênior,10044,15951,Remoto
1843,Desenvolvimento Backend,São Paulo - SP,Júnior,2513,4676,Híbrido
1844,Desenvolvimento Frontend,São Paulo - SP,Pleno,5169,9252,Remoto
1845,Desenvolvimento Frontend,São Paulo - SP,Pleno,5398,9314,Presencial
1846,Desenvolvimento Frontend,Rio de Janeiro - RJ,Pleno,5100,8693,Híbrido
1847,Suporte / Infraestrutura,Remoto (Brasil),Sênior,10308,16101,Presencial
